title;authors;year;publicationtitle;citationcount;doi;abstract;population;intervention;comparison;outcomes;context;checklater;include;testitem
"Koppen C.; Spence C.";0.0;Assessing the role of stimulus probability on the Colavita visual dominance effect;2007;Neuroscience Letters;10.1016/j.neulet.2007.03.032;"Participants presented with unimodal auditory (A), unimodal visual (V), or bimodal audiovisual stimuli (AV) in a task in which they have to identify the modality of the targets as rapidly as possible, fail to respond to the auditory component of bimodal targets significantly more often than they fail to respond to the visual component. In the majority of published studies on this phenomenon, known as the Colavita effect, the auditory, visual, and bimodal stimuli have been presented in the ratio 40A:40V:20AV. In the present study, we investigated whether the relatively low frequency with which the bimodal targets in previous studies have been presented may have contributed to participants' difficulty in responding to such targets correctly. We manipulated the bimodal target probability by presenting the stimuli in the ratios 20A:20V:60AV, in Experiment 1; 5A:5V:90AV, 25A:25V:50AV, and 45A:45V:10AV, in Experiment 2. A significant Colavita visual dominance effect was observed when the bimodal targets were presented on 60% of the trials or less. We suggest that increasing the frequency of bimodal targets may have provided an exogenous cue to performance, that reduced the necessity for endogenous attention when selecting the appropriate response to make to bimodal targets. © 2007 Elsevier Ireland Ltd. All rights reserved."
"Heath R.L.; Mahmasanni O.; Rouhana A.; Nassif N.";0.0;Comparison of aesthetic preferences among Roman and Arabic script readers;2005;Laterality;10.1080/13576500442000166;"The systemic bias for aesthetic preferences demonstrated by prior research is thought to reflect neural organisation. Research on aesthetic preference and laterality has usually been conducted with participants who read a left-to-right Roman script, e.g., English. In order to determine if the aesthetic judgments were influenced by habitual scanning direction, we administered a geometric aesthetic preference test to 578 right-handed adults who represented a range of script experience, i.e., left-to-right Roman script readers (English); right-to-left Arabic script readers; bi-directional readers of Roman and Arabic scripts; and illiterates. We also administered an asymmetric chimeric faces test. Our findings showed that biases in aesthetic preference were influenced by script direction and pictorial dimensions. In a laterally balanced composition, participants preferred to begin their scan with the object representing Interest and terminate with the object representing Weight, the direction being determined by the script. In an unbalanced composition, participants tended to fixate on content, whether Interest or Weight, and move in a direction consistent with the script. © 2005 Psychology Press Ltd."
Manns M.;0.0;The riddle of nature and nurture - Lateralization has an epigenetic trait;2005;Behavioral and Brain Sciences;10.1017/S0140525X05360109;Vallortigara & Rogers's (V & R's) proposal that directional asymmetries evolved under social pressures raises questions about the ontogenetic mechanisms subserving the alignment of asymmetries in a population. Neuro-ontogenetic principles suggest that epigenetic factors are decisively involved in the determination of individual lateralization and that genetic factors align their direction. Clearly, directional asymmetry has an epigenetic trait.
"Tian S.; Bolzani R.; Benassi M.; Lennerstrand G.";0.0;Eye muscle force development in thyroid-associated ophthalmopathy in different stages of disease;2007;Acta Ophthalmologica Scandinavica;10.1111/j.1600-0420.2007.00877.x;Purpose: Ocular motility disturbances are common in patients with thyroid-associated ophthalmopathy (TAO). A quantitative evaluation of the isometric force of the eye muscles in TAO might be useful in the detection of early stages of this disease. Methods: A total of 32 patients with TAO were divided into three groups according to whether they had mild active, pronounced, active, or longstanding, inactive disease. A group of six patients with Graves' disease without clinical signs of TAO and a group of 10 control subjects were also studied. The development of isometric force during saccadic eye movements of 5-, 10- and 20-degree amplitude in horizontal and vertical directions of gaze were recorded in the more affected eye in patients and the non-dominant eye in normal subjects, using a suction contact lens/strain gauge technique. Results: Peak tension (Fp) in vertical and horizontal saccadic movements was not significantly different between groups. Steady-state tension (Fs) was significantly higher in the groups with pronounced, active and longstanding, inactive disease than in the other groups for vertical (p < 0.01) and horizontal movements (p < 0.05). Abnormal force development in any of the gaze directions was seen in all patients with pronounced, active and longstanding, inactive TAO, and in some of the patients with mild, active TAO and Graves' disease without TAO. Conclusions: Increased eye muscle tension was recorded in different gaze directions, confirming multiple extraocular muscle involvement in TAO. It is suggested that the increased force development reflected contractile compensations for restrictions of ocular motility due to higher muscle stiffness in thyroid-associated eye muscle disease. Tension measurements can be used to identify muscle involvement in TAO. © 2007 Acta Ophthalmol Scand.
"Ehrenstein W.H.; Arnold-Schulz-Gahmen B.E.; Jaschinski W.";0.0;Eye preference within the context of binocular functions;2005;Graefe's Archive for Clinical and Experimental Ophthalmology;10.1007/s00417-005-1128-7;Background: Eye preference refers to an asymmetric use of the two eyes, but it does not imply a unitary asymmetry between the eyes. Many different methods are used to assess eye preference, including eyedness questionnaires and sighting tasks that require binocular and monocular alignment of a target through a hole in the middle of a card or funnel. The results of these coarse accounts of eye preference are useful as a first screening, but do not allow for graded quantification of the manifested asymmetry in binocular vision. Moreover, they often concern only a rather selective range of binocular functions. The aim of the present study was to further differentiate eye preference within the context of other binocular functions as measured in standard optometric tests, and to validate their relation to questionnaire data of eyedness. Methods: Conventional accounts of eye preference (German adaptation of Coren's questionnaire and a sighting task) were compared with various optometric tests of binocular function within a sample of 103 subjects. Examination included visual acuity and accommodation in each eye, stereoscopic prevalence, suppression due to binocular rivalry, fixation disparity (Mallett test). Results: Sighting dominance was leftward in 3 2% and rightward in 68% of the cases and was highly correlated (Kendall's τb=0.70) with eyedness. Further significant associations were restricted to stereoscopic prevalence which correlated with sighting dominance (τb=0.55), eyedness (τb=0.50), and rivalry dominance (τb=0.28). Conclusion: Eye preference seems to be essentially reflected by eyedness, sighting dominance, and stereoscopic prevalence, but largely unrelated to fixation disparity, accommodation, and visual acuity. © Springer-Verlag 2005.
"Brar G.S.; Bandyopadhyay S.; Kaushik S.; Raj S.";0.0;Efficiency of occlusion therapy for management of amblyopia in older children;2006;Indian Journal of Ophthalmology;10.4103/0301-4738.27951;Purpose: To analyze results of full time occlusion therapy for amblyopia in children older than 6 years. Materials and Methods: This was a retrospective consecutive case series analysis of children treated for amblyopia at a tertiary care center. All children received full time occlusion (FTO) for the dominant eye. Results: Eighty-eight children older than 6 years at the time of initiation of therapy were included. Age at initiation of therapy ranged from 6 to 20 years (9.45 ± 3.11 years). Forty-two children (47.7%) had strabismic amblyopia, 37 (42.0%) had anisometropic amblyopia and 9 (10.2%) had a combination of strabismic and anisometropic amblyopia. Eighty out of 88 eyes (90.0%) had improvement in visual acuity following FTO. Visual acuity (VA) improved from 0.82 ± 0.34 at presentation to 0.42 ± 0.34 (P < 0.001) after FTO. In children with strabismic amblyopia, VA improved from 0.81 ± 0.42 to 0.42 ± 0.39 (P < 0.001). In children with anisometropic amblyopia, visual acuity of the amblyopic eye improved from 0.82 ± 0.24 to 0.36 ± 0.29 (P < 0.001) following FTO. Out of 13 children older than 12 years, only 6 children (46.1%) had improvement in VA. Mean follow-up after complete stoppage of occlusion was 8.37 ± 1.78 months. Conclusion: Occlusion therapy yields favorable results in strabismic and/or anisometropic amblyopia, even when initiated for the first time after 6 years of age. After 12 years of age, some children may still respond to occlusion of the dominant eye.
"Popple A.V.; Yuen K.; Levi D.M.";0.0;Collinearity improves alignment in amblyopia as well as in normal vision;2007;Vision Research;10.1016/j.visres.2007.04.003;In normal vision, three contrast patches containing black and white bars are aligned more precisely when the bars are collinear across the patches [Popple, A., Polat, U., & Bonneh, Y. (2001). Collinear effects on 3-Gabor alignment as a function of spacing, orientation and detectability. Spatial Vision, 14(2), 139-150]. Normally, offsets between the bars in successive patches make the configuration appear tilted, but this effect is reduced in amblyopia [Popple, A. V., & Levi, D. M. (2000). Amblyopes see true alignment where normal observers see illusory tilt. Proceedings of the National Academy of Science of the United States of America, 97(21), 11667-11672]. Our aim was to examine whether collinear bars nonetheless improve the precision of alignment in amblyopia. In a sample of 13 amblyopes, we found that collinear bars did indeed improve the precision of alignment in amblyopia, although both alignment bias and thresholds were higher in the amblyopic eyes for both collinear and non-collinear bars. © 2007 Elsevier Ltd. All rights reserved.
"Isotalo E.; Kapoula Z.; Feret P.-H.; Gauchon K.; Zamfirescu F.; Gagey P.-M.";0.0;Monocular versus binocular vision in postural control;2004;Auris Nasus Larynx;10.1016/j.anl.2003.10.001;Objective: In previous studies about the control of posture there have been controversial findings. Our aim was to examine the role of monocular and binocular vision in controlling posture in quiet stance. Methods: Twenty-eight normal subjects were tested. We used a force platform in measuring postural stability. In main experiment, postural stability was measured in four conditions: both eyes open (BEO), dominant eye open (DEO) non-dominant eye open (NDEO), and both eyes closed (BEC). In a further experiment, 11 subjects were tested in conditions where a vertical prism was placed in front of dominant eye. Prism was strong enough to cause diplopia. Our interest was to see, if diplopia affected the balance. Results: In main experiment, at level of group the body-sway in any of the three ocular (viewing) conditions did not differ from each other. At level of individuals, binocular vision was more effective on controlling posture in only half of subjects. In prism experiment, relative to normal binocular viewing the postural stability was modified in both prism conditions, but there was no difference between monocular and binocular viewing with prism. Conclusion: In quiet stance and in subjects with perfect binocular vision and stereopsis, the benefit out of binocular viewing in postural stability is subject-dependent. At the level of group, monocular vision provides equally good postural stability as binocular vision. © 2003 Elsevier Ireland Ltd. All rights reserved.
Brooks K.R.;0.0;Monocular motion adaptation affects the perceived trajectory of stereomotion;2002;Journal of Experimental Psychology: Human Perception and Performance;10.1037/0096-1523.28.6.1470;Perceived stereomotion trajectory was measured before and after adaptation to lateral motion in the dominant or nondominant eye to assess the relative contributions of 2 cues: changing disparity and interocular velocity difference. Perceived speed for monocular lateral motion and perceived binocular visual direction (BVD) was also assessed. Unlike stereomotion trajectory perception, the BVD of static targets showed an ocular dominance bias, even without adaptation. Adaptation caused equivalent biases in perceived trajectory and monocular motion speed, without significantly affecting perceived BVD. Predictions from monocular motion data closely match trajectory perception data, unlike those from BVD sources. The results suggest that the interocular velocity differences make a significant contribution to stereomotion trajectory perception.
"Mansouri B.; Hess R.F.; Allen H.A.; Dakin S.C.";0.0;Integration, segregation, and binocular combination;2005;Journal of the Optical Society of America A: Optics and Image Science, and Vision;10.1364/JOSAA.22.000038;The human visual system can accurately judge the mean of a distribution of different orientation samples. We ask whether the site of this integration is before or after the sites of binocular combination and disparity processing. Furthermore, we are interested in whether the efficiency with which local orientation information is integrated depends on the eye of origin. Our results suggest that orientation integration occurs after binocular integration but before disparity coding. We show that the effectiveness of added orientation noise is not only less than expected on signal or noise grounds but also that it depends on the dominance of the eye to which it is presented, suggesting an interocular opponent interaction in which the dominant eye input has higher gain. © 2005 Optical Society of America.
"Paffen C.L.E.; Kanai R.; te Pas S.F.; Verstraten F.A.J.";0.0;Binocular rivalry between moving stimuli: The effect of surround motion;2003;Journal of Vision;10.1167/3.9.321;"When two dissimilar stimuli are presented dichoptically, the percept generally alternates between the two monocular stimuli; a phenomenon known as binocular rivalry. The dominance of a specific percept during rivalry can be affected by a surrounding stimulus. For example, if two discs containing bars with orthogonal orientations are both surrounded by an annulus containing bars with the same orientation as one of the two discs, the disc containing the bars orthogonal to the surround is more dominant (Fukuda & Blake, 1992). Here, we investigate whether this preference for a stimulus deviant from its surround can also be observed for moving stimuli. Stimuli: Two discs containing vertical sine-wave gratings, always moving horizontally in opposite direction, were presented dichoptically at the center of fixation. The discs could each be surrounded by an annulus containing a vertical sine-wave grating moving in the same direction as one of the two discs. The annulus was either presented to one eye [one-eye condition] or both eyes [two-eyes condition]. In the two-eyes condition, the annuli moved in the same direction. In the one-eye condition, the grating in the annulus moved in the same direction as the grating in the disc in the same eye, or in the same direction as the grating in the disc presented to the other eye. Observers had to continuously indicate the perceived direction of motion in the center disc. Results: For both conditions, the disc containing the grating with a direction of motion opposite to the surround was more dominant. Most interestingly, for the one-eye condition, the disc containing the grating moving in the direction opposite to the motion in the annulus was more dominant, irrespective of its positioning (same or different eye as compared to the annulus). Thus, also during binocular rivalry of moving stimuli, the grating in the disc moving in the deviant direction, as compared to the motion direction in the annuli, is preferred."
"Mapp A.P.; Ono H.; Barbeito R.";0.0;What does the dominant eye dominate? A brief and somewhat contentious review;2003;Perception and Psychophysics;10.3758/BF03194802;We examine a set of implicit and explicit claims about the concept of eye dominance that have been made over the years and note that the new literature on eye dominance does not reflect the old literature from the first half of the last century. We argue that the visual and oculomotor function of the dominant eye - defined by such criteria as asymmetry in acuity, rivalry, or sighting - remains unknown and that the usefulness of the concept for understanding its function is yet to be determined. We suggest that the sighting-dominant eye is the eye used for monocular tasks and has no unique functional role in vision.
"Dane S.; Gümüştekin K.; Yazici A.T.; Baykal O.";0.0;Correlation between hand preference and intraocular pressure from right- and left-eyes in right- and left-handers;2003;Vision Research;10.1016/S0042-6989(02)00568-0;"To test whether there is a relationship between handedness and the intraocular pressure and there is a lateralization in the intraocular pressure, the intraocular pressures of the right- and left-eyes were compared in right- and left-handed students. The intraocular pressures were higher in the right-eye than in the left-eye in men, right-handers, and right-eyed subjects; there was no right-left difference in females, left-handers, left-eyed, and both-eyed subjects. The intraocular pressure of right- and left-eyes was higher in left-handers than right-handers. And there were significant negative correlations between hand preference and the intraocular pressure of both right- and left-eyes. We have concluded that the dominant eye has higher intraocular pressure compared to the nondominant one, and there is a relationship between hand preference and the intraocular pressure. © 2003 Elsevier Science Ltd. All rights reserved."
Steinbach M.J.;0.0;RE: Binocular ocular sighting dominance discovered to be gaze dependent!;2003;Binocular Vision and Strabismus Quarterly;0;[No abstract available]
"van Dam L.C.J.; van Ee R.";0.0;Bistability in stereoscopically perceived slant about a horizontal axis;2003;Journal of Vision;10.1167/3.9.467;We exposed the visual system to an ambiguous 3D stimulus consisting of a grid for which monocular and binocular cues could specify different slants about a horizontal axis. Observers were asked to estimate the slant of the grid in 3D space. Monocular and binocular specified slants were varied independently across stimulus presentations. When monocular and binocular cues specified similar slants (no conflict) observers perceived a single orientation. However when the difference between the specified slants was large (cue-conflict), observers were able to select either a monocular or a binocular dominated percept. This result corroborates what van Ee, van Dam and Erkelens (Journal of Vision, 2002, 2, 597-607) reported for slants about a vertical axis. The slant estimates were described by a Bayesian model in which the different cues were implemented as different likelihoods. To describe the bifurcation in the data, two different modes were used in our model. One in which the monocular likelihood is dominant and the other in which the binocular likelihood is dominant. Further, observers were able to flip between percepts more or less at will, although spontaneous flips occurred frequently. Eye movement measurements revealed that (1) the flipping between percepts can occur under strict fixation and (2) when eye movements are allowed, there is no clear correlation between eye movements and perceptual flips: flips occur during long fixations as well as just after saccades or blinks. Therefore we suggest that perceptual flipping of the bistable grid stimulus is a central process in which eye movements are not necessarily involved.
"Jarrett D.; Ineson J.; Cheetham M.";0.0;Visual anomalies and display night vision goggles;2003;Proceedings of SPIE - The International Society for Optical Engineering;10.1117/12.484795;A brief study has been conducted to investigate several visual anomalies reported by test pilots using a Display Night Vision Goggle (DNVG) that superimposed symbols onto the intensified image seen by the right eye. A survey of relevant research suggests that one oddity, an apparent focus mis-match between the scene image and the injected symbols, is an irremovable facet of the perception of bright, contrasting, overlaid symbols. A second oddity, an uncomfortable and distracting blurring of the under-stimulated left eye during periods of flight in cloud, was eventually experienced by several people in a laboratory simulation, the effect being more noticeable if the under-stimulated eye was the dominant eye. A subsequent apparent enlargement of the HUD symbols and a post-flight focussing delay by the left eye seemed to be after-effects of whatever caused the ocular discomfort. As about 30% of the population are left eye dominant, the disturbing discomfort and aftermath could affect this proportion of pilots using a right-eye DNVG. Although further work is needed to understand the phenomena, it would be wise to warn aircrew and enable the symbol injection unit to be fitted to either channel of the DNVG.
"Crawford J.D.; Henriques D.Y.P.; Medendorp W.P.; Khan A.Z.";0.0;Ocular kinematics and eye-hand coordination;2003;Strabismus;10.1076/stra.11.1.33.14094;Eye-hand coordination is complicated by the fact that the eyes are constantly in motion relative to the head. This poses problems in interpreting the spatial information gathered from the retinas and using this to guide hand motion. In particular, eye-centered visual information must somehow be spatially updated across eye movements to be useful for future actions, and these representations must then be transformed into commands appropriate for arm motion. In this review, we present evidence that early visuomotor representations for arm movement are remapped relative to the gaze direction during each saccade. We find that this mechanism holds for targets in both far and near visual space. We then show how the brain incorporates the three-dimensional, rotary geometry of the eyes when interpreting retinal images and transforming these into commands for arm movement. Next, we explore the possibility that hand-eye alignment is optimized for the eye with the best field of view. Finally, we describe how head orientation influences the linkage between oculocentric visual frames and bodycentric motor frames. These findings are framed in terms of our 'conversion-on-demand' model, in which only those representations selected for action are put through the complex visuomotor transformations required for interaction with objects in personal space, thus providing a virtual on-line map of visuomotor space.
"Heikkinen T.; Poikela T.; Grön M.; Alvesalo L.";0.0;Unilateral Angle II in functional lateralities;2004;European Journal of Orthodontics;10.1093/ejo/26.1.93;"The aim of this study was to explore unilateral Angle II-type malocclusion prevalences in functionally true right-sided (TRS) and non-right-sided (NRS) children having one or more left-sided functions (eye, hand, foot). A half cusp sagittal relationship of the upper and lower M1 and Dm2 was determined on dental casts of 1423 young American black and white children in a cross-sectional sample with the mean age of 8.5 years (range 6-12 years). Hand, foot and eye preferences were recorded at the age of 4 years during the Collaborative Perinatal Study. The prevalences of symmetric bilateral Angle I and II and asymmetric unilateral Angle II right and Angle II left cases were compared between TRS and NRS children using Chi-square analysis. In general, unilateral Angle II right occurred in 9 per cent of the population and Angle II left in 6.5 per cent. In moderate non-right sideness (two-thirds of left dominant functions), these proportions were 17 and 3 per cent, respectively, and in true right sidedness 8 and 6 per cent, respectively. TRS subjects were more symmetric (bilateral Angle I or II in 85 per cent of cases) than NRS children (80 per cent), and the differences were statistically significant (P < 0.02). These results highlight the anatomical relationships of structures supporting the occlusion and the symmetry/asymmetry of the neurocranium, cranial base, masticatory apparatus, and probably also the sidedness and the growth-stimulating effect of lateralized jaw function. Based on the results and considering earlier observations on brain asymmetry in functional lateralities, it can be hypothesized that a normal symmetric sagittal occlusal relationship is based on unilateral sagittal compensatory growth to maintain optimal bite, challenging early preventive orthodontic treatment in suspect unilateral Angle II cases. © European Orthodontic Society 2004; all rights reserved."
Voyer D.;0.0;Reliability and magnitude of visual laterality effects: Further examination of the endogenous cueing procedure;2003;Laterality;10.1080/713754472;"The present study tests the hypothesis that laterality effects with bilateral displays would be larger and more reliable when lexically matched stimulus pairs are used rather than unmatched pairs. A total of 40 right-handed participants completed a lexical decision task using matched stimulus pairs in a bilateral display. These data were added to a previously collected set of data with 40 right-handed participants in which unmatched stimulus pairs were used. Results showed that the expected right visual field advantage (RVFA) was significant in words but not in non-words. In addition, a significant practice effect was found to be larger for matched than unmatched stimulus pairs. The predicted interaction between stimulus type, stimulus pairing, and visual field was not significant; contrary to the initial hypothesis, the RVFA was larger (though not significantly so) for unmatched displays than for matched ones. Finally, the laterality effect was found to be more reliable with unmatched than matched pairs in non-words, whereas no difference was found in words. The discussion emphasises the advantages of unmatched stimulus pairs and the conditions under which the bilateral effect is likely to emerge."
Inui N.;0.0;Lateralization of bilateral transfer of visuomotor information in right-handers and left-handers;2005;Journal of Motor Behavior;10.3200/JMBR.37.4.275-284;The author examined the lateralization of transfer of visuomotor information between the right and left hands during uni-manual finger-tapping sequences with visual feedback. The finger-tapping task consisted of a target peak force of 2 N and a target intertap interval of 500 ms. Twenty right-handed and 10 left-handed participants performed the motor task, with 3 transfer trials following 3 practice trials. The author observed positive transfers from the left to the right hand for right-handers but the opposite direction of positive transfers for left-handers. However, left-handers showed a less variable peak force than right-handers did. The author discusses left-handers' interhemispheric information processing.
"Mcmanus I.C.; Tomlinson J.";0.0;Objects look different sizes in the right and left eyes;2004;Laterality;10.1080/13576500342000077a;Coren and Porac (1976) reported that objects looked larger in the right eye of right-eye dominant subjects and in the left eye of left-eye dominant subjects. This paper attempts to repeat that finding. Two circles of same or different size were presented haploscopically in a binocular three-field tachistoscope, to right or left visual half-field and to the upper or lower visual field, one to the right eye and one to the left. A total of 43 subjects reported which of the two circles was the larger, each subject carrying out 120 trials of the experiment. Overall subjects reported that the stimulus to the left eye was significantly larger than that presented to the right eye. There was no association with eye dominance, and therefore the Coren and Porac finding could not be repeated. There was however a very significant association with handedness, left-handed subjects tending to report that the stimulus in the right eye looked larger, and right-handed subjects reporting that the stimulus in the left eye looked larger. © 2004 Psychology Press Ltd.
"Gandy R.; Beaumont I.";0.0;Analysing: Aseptic preparation - Survey design and data assessment;2003;Hospital Pharmacist;0;[No abstract available]
"He Z.J.; Ooi T.L.";0.0;Figural contours and border-ownership constraint in binocular rivalry;2002;Journal of Vision;10.1167/2.7.465;"Binocular rivalry is typically studied with a dichoptic stimulus whose half-images have similar figural contour (eg square frame) but different internal patterns (eg horizontal vs vertical lines). But given the importance of figural contours in defining the perceived binocular surface shape, one needs to examine how figural contours affect rivalry. To show that figural contours promote rivalry dominance, we used a large (10×10 deg) vertical grating surface as the binocular background. (i) Upon this a 1 deg circular horizontal grating patch (figural contour was added to one half-image. When this display was viewed, little rivalry was observed. Instead, a relatively stable horizontal patch was perceived against the larger vertical grating. (ii) But if a thin lined circle, or a circular illusory contour, was added to the other half-image corresponding to the circular patch, a vigorous rivalry ensued. Curiously, when (i) was repeated with a binocular background consisting of either a checkerboard or random dot texture with rich microstructure or local edge information, vigorous rivalry was observed. Thus, our findings suggest that monocular, real or illusory, figural contours can tilt the dominant rivalry percept, in favor of the image that owns the figural border. In a second experiment, we showed that such border-ownership constraint also applies to the typical rivalry stimulus. Capitalizing on the rivalry dominance-spreading observation (Blake et al, 1992; Wilson et al, 2001), we tested observers with a red horizontal grating (LE) and a green vertical grating (RE). A border-ownership constraint predicts that the small occlusion-valid areas at the figural contours of each half-image (LE: red at the right margin; RE: green at the left margin), as centers for dominance-spreading, will be more immune to rivalry suppression. Confirming this, our observers reported more dominance for the occlusion-valid areas for stimulus duration of 100 msec and longer."
"Nielsen M.; Dissanayake C.; Kashima Y.";0.0;A longitudinal investigation of self-other discrimination and the emergence of mirror self-recognition;2003;Infant Behavior and Development;10.1016/S0163-6383(03)00018-3;"The aim in this study was to investigate the association between infants' developing interest in their self-image and the onset of mirror self-recognition (MSR). A longitudinal study was conducted with 98 infants who were seen at intervals of 3 months from 9-24 months of age. At each session, the infants were administered a preferential-looking test whereby they were presented with a video image of themselves alongside a video image of a same-aged peer in two conditions, unmarked and marked. From the 12-month session onwards, the infants were also administered a version of the standard ""mark test"" of MSR. The infants showed a significant preference for looking at images of themselves in both conditions coincident with the onset of MSR. This result indicates that developing an interest in the self-image is an important component in the development of MSR. © 2003 Elsevier Science Inc. All rights reserved."
"Hayami T.; Horimoto S.; Shidoji K.; Matsunaga K.";0.0;Transverse rotation of the eyeball affected by fixation distance;2002;Research Reports on Information Science and Electrical Engineering of Kyushu University;0;The video eye-tracker can measure the direction of the visual axis of the eye based on the calibration, which creates a relationship between the displacement of a feature on the eyeball and the direction of the visual axis. However, this calibration method takes no account of the distance from the subject to the target. Version displacement of the pupil center was measured when the subject is fixating on stationary targets on the planes stood at different distances from the subject. As a result, the small transverse movement of the pupil center was observed when the subject had a version movement of the eyes for the targets on the near plane. The relationship between the distance and the amount of transverse movement was conspicuous in the dominant eye.
"Banks M.S.; Ghose T.; Hillis J.M.";0.0;Relative image size, not eye position, determines eye dominance switches;2004;Vision Research;10.1016/j.visres.2003.09.029;A recent paper examined eye dominance with the eyes in forward and eccentric gaze [Vision Res. 41 (2001) 1743]. When observers were looking to the left, the left eye tended to dominate and when they were looking to the right, the right eye tended to dominate. The authors attributed the switch in eye dominance to extra-retinal signals associated with horizontal eye position. However, when one looks at a near object on the left, the image in the left eye is larger than the one in the right eye, and when one looks to the right, the opposite occurs. Thus, relative image size could also trigger switches in eye dominance. We used a cue-conflict paradigm to determine whether eye position or relative image size is the determinant of eye-dominance switches with changes in gaze angle. When eye position and relative image size were varied independently, there was no consistent effect of eye position. Relative image size appears to be the sole determinant of the switch. © 2003 Elsevier Ltd. All rights reserved.
"Meng M.; Tong F.";0.0;Can attention selectively bias bistable perception? Differences between binocular rivalry and ambiguous figures;2004;Journal of Vision;10.1167/4.7.2;It is debated whether different forms of bistable perception result from common or separate neural mechanisms. Binocular rivalry involves perceptual alternations between competing monocular images, whereas ambiguous figures such as the Necker cube lead to alternations between two possible pictorial interpretations. Previous studies have shown that observers can voluntarily control the alternation rate of both rivalry and Necker cube reversal, perhaps suggesting that bistable perception results from a common mechanism of top-down selection. However, according to the biased competition model of selective attention, attention should be able to enhance the attended percept and suppress the unattended percept. Here, we investigated selective attentional modulation of dominance durations in bistable perception. Observers consistently showed much weaker selective attentional control for rivalry than for Necker cube reversal, even for rivalry displays that maximized the opportunities for feature-, object-, or space-based attentional selection. In contrast, nonselective control of alternation rate was comparably strong for both forms of bistable perception and corresponded poorly with estimates of selective attentional control. Our results support the notion that binocular rivalry involves a more automatic, stimulus-driven form of visual competition than Necker cube reversal, and as a consequence, is less easily biased by selective attention. © 2004 ARVO.
"Chen X.; He S.";0.0;Local factors determine the stabilization of monocular ambiguous and binocular rivalry stimuli;2004;Current Biology;10.1016/j.cub.2004.05.042;"Perceptual alternation in viewing bistable stimuli can be slowed or halted if the stimuli are presented intermittently [1, 2]. Memory of the recent perceptual experience has been proposed to explain this stabilization effect. But the nature of this ""perceptual memory"" remains unclear. By using a bistable rotating cylinder and two dichoptically presented orthogonal gratings, we explored the features that are important for the stabilization by changing a particular feature of the stimuli between alternate presentations. For the rotating cylinder, changing its color, rotating speed, size, or its stereo depth had no or minimal effect on the stabilization of its perceived rotation direction. For binocular rivalry, when the two gratings were matched in strength and then swapped between the two eyes synchronously with the intermittent presentation, the percepts were usually stabilized to one eye. In both cases, perceptual stabilization occurred only if the stimuli were presented to the same retinal location. These results suggest that the stabilization of monocular bistable stimuli is likely due to the removal of local adaptation, insensitive to the features that define the object identity. For binocular rivalry, preservation of the direction of interocular suppression rather than memory of the stimulus identity accounts for the stabilization effect."
"Kremláček J.; Kuba M.; Chlubnová J.; Kubová Z.";0.0;Effect of stimulus localisation on motion-onset VEP;2004;Vision Research;10.1016/j.visres.2004.07.002;"Reliable motion-onset visual evoked potentials (result of the dorsal stream activation) were recorded to motion stimuli with the temporal frequency of five cycles per seconds in 20 different locations with eccentricity up to 42°to periphery of the visual field. Amplitudes and latencies of the positive-negative-positive (P1-N1-P2; 84-144-208 ms) complex were evaluated in occipital (O Z and two derivations 5 cm to the left and right from O Z) and central region (C Z) in 10 subjects. We observed: (1) Shortening of the N1 latency toward periphery of the visual field. (2) The N1 amplitude maximum and latency minimum moved from occipital into central region (C Z derivation) as stimulus moved from centre toward periphery of visual field. (3) The P1 and N1 peaks displayed significantly greater amplitudes and shorter latencies when the lower part of the visual field was stimulated. (4) The N1 peak changed lateralisation of its maximum amplitude in dependence on the eccentricity. Up to 17°, it corresponds to striate projection of the ""optic radiation"" whilst more in periphery, there was paradoxical lateralisation of higher amplitude and shorter latency. The retinotopic dependence shows that the motion response includes position information and that the motion-onset VEPs are not generated solely in the higher extrastriate areas (MT or MST). © 2004 Elsevier Ltd. All rights reserved."
"Hupé J.-M.; Rubin N.";0.0;Stimulus strength and dominance duration in perceptual bi-stability. Part II: From binocular rivalry to ambiguous motion displays;2002;Journal of Vision;10.1167/2.7.464;"In binocular rivalry, strengthening the stimulus to one eye does not affect the mean dominance duration of that eye, but instead decreases the dominance durations of the other eye (Levelt 1968). Here we show that this fundamental result can be generalized to another domain of perceptual bi-stability. Methods: Plaids made of rectangular-wave gratings were used. Plaids are bi-stable stimuli that can be seen as a single pattern moving coherently or two grating sliding over each other (transparency). We manipulated the strength of the transparent percept without affecting the coherent percept, relying on two facts: (i) during the transparency states, the sense of motion is dominated by the 'front' grating; (ii) there is a preference to see motion along cardinal directions (e.g. Andrews & Schluppeck VR 2000; Hupé & Rubin ARVO 2001). The plaids consisted of one cardinal and one oblique grating, with unambiguous depth ordering via occlusion cues. Shuffling the cardinal grating from back to front therefore enhanced the transparent percept, but did not affect the coherent percept (during coherency the two plaids looked indistinguishable). The mean duration of the transparency and coherency epochs were measured over 60 sec trials. Results: For all eight observers, strengthening the transparent percept led to a shortening of the mean duration of the coherency epochs, without affecting the duration of the transparency epochs, in analogy to Levelt's result. This suggests that there may be general rules governing the dynamics of bi-stable perception. Specifically, it suggests a suppressive/inhibitory coupling between rivaling stimulus interpretations as a general principle in the brain. Our results also suggest that measuring the mean durations of the coherency and transparency epochs may provide a way to asses whether a given manipulation affected motion integration or motion segmentation processes, or both. To date such independent assessment has not been possible."
